,screen_name,text,timestamp,tweet_id,cluster_pred
20,SynAlexander,"Retweeted Tyler Gildin (@TylerGildin):

Lester Holt right now... #debates https://t.co/MZ600ldjvm https://t.co/rV1Mh1aePA",1474939912674,780580685945987076,1
21,dana_christine,"If I were this moderator, I would just get up and leave. They don't care about what he says #Debates",1474939912752,780580686273056768,1
22,SamBonney_,"""...hasn't worked."" They just straight up misquoted her lol. https://t.co/tZH3AhFz5o",1474939912734,780580686197514240,1
23,Apvches,"""Awfully careful"" #debates",1474939912796,780580686457544705,1
24,elvis___13,#debates trump you already have your turn come on let Hillary talk,1474939912783,780580686403166209,1
25,AliBranwen,"WTF? #Debates
Can he hear a word other than his own thoughts, and will Lester Holt shut him the f*^# up while HIllary Clinton is speaking?",1474939912801,780580686478454785,0
26,nievesj,"Trump: ""Believe me, with the facts I pull out of my ass"" #Debates",1474939912835,780580686621122560,2
27,catdilly,Rip Lester 2k16 #Debates,1474939913670,780580690123370496,1
28,KristiKay3,"I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC
https://t.co/dPZpYOt1QO",1474939913559,780580689657860096,1
29,BigDaddyLiyeah,Donald Trump makes my Stomach hurt #Debates,1474939912795,780580686453497857,1
30,BossHonan,#debatenight #debates https://t.co/Bbhy1mT7NA,1474939913133,780580687871172610,0
31,jsun187,Get 'em Lester! #debates,1474939913073,780580687619424257,1
32,assbutt_221B,"@realDonaldTrump is just throwing himself a big old tantrum, isn't he? What about your bad decisions? Remember your bankruptcies? 😂 #debates",1474939913556,780580689645273088,2
33,Quakes98,Wondo is better than Pulisic will ever be #Debates,1474939913717,780580690320502784,1
34,blurayjunkies,Continually interrupting the host is extremely rude and unprofessional    #Debates,1474939913744,780580690433748992,1
35,KDapore,Hillary Clinton responding to Trump's attacks in a nutshell #debates https://t.co/3rA8LPSKmf,1474939913253,780580688374431746,1
36,stephen_damm,Times we tried slashing taxes for the wealthy: 1920s. Led to the Great Depression. #debates,1474939913631,780580689959936000,1
37,DWidenor,"Trump: She has her plan on how to beat ISIS on her WEBSITE!!!
Clinton: At least I have a plan.  #Debates https://t.co/2J9MQGGtWh",1474939913389,780580688944697345,1
38,Chats_w_Siri,HOLY SHIT! We need @jerryspringer to moderate. #Debates2016 #debatenight #debates,1474939913664,780580690098282496,0
39,Attacking_Zach,You know what these #Debates  need? A mic switch so that the moderators can mute either candidates mic when they talk over each other,1474939912871,780580686772264960,1
40,KiriCallaghan,"What exactly has been YOUR action for the economy, sir? EVEN YOUR CAMPAIGN HATS ARE MADE IN CHINA! #debates",1474939913657,780580690068774912,1
41,DanielJoseph75,Actually agree with DT on the fed issues 😬 #Debates,1474939913577,780580689733353472,1
42,birdisthewyrd,Oh Lester w/ the tax returns #Debates #debatenight,1474939913723,780580690345668612,0
43,a_tuts,Oooo that little smirk. Queen #debates,1474939913660,780580690081484801,1
44,GrampianHilandr,"Trump the bad parent: He's flaunted his relationship before sons with the ""queen of porn"" Jenna Jameson #debates https://t.co/MEvLkdyjSz",1474939913717,780580690320470017,1
45,SupaScoopa_,#JillNotHill #NeverHillary #NeverTrump #OccupyTheDebates #OpenDebates #DebateNight #Debates https://t.co/DPvyLLzWRf,1474939913736,780580690400190464,0
46,Kapril_Doll,Trump we gone need those returns... #debates,1474939913711,780580690295398400,1
47,vanessacdeaver,can't wait for Obama to sarcastically golf everyday #debates,1474939913714,780580690308001792,1
48,DeadlyRave,Trump talking like he's reading a high school kids rough draft essay #Debates,1474939914688,780580694393171968,1
49,jennifershockey,Did Donald just say I'm a big fat ugly bubble?  #Debates,1474939914594,780580693998915586,2
50,marycornish4961,"WATCH: ""Donald I know you live in your own reality."" HillaryClinton to realDonaldTrump on NAFTA. #Debates  https://t.co/1Po2m8Tonn",1474939914534,780580693747302400,1
51,kLockitt7,Trump the only thing big and fat here tonight is you. #debates https://t.co/JodMKEJaIU,1474939914458,780580693428559872,2
52,AndyOwens85,Mr. Trump: please ever refer to a woman as This [insert name] #Debates,1474939914662,780580694284206084,1
53,mikejohns_,Yep! On both sides. Defense and entitlement. https://t.co/E5eOZ6Akfy,1474939914694,780580694418268161,1
54,Jtalryan,Good line #debates #gapol https://t.co/d6qB73l1s9,1474939914527,780580693717970944,1
55,Nicole80017,"Oh, his tax returns! #debates",1474939914719,780580694523154437,1
56,ZPGIFs,Pass that shit bruh #debatenight #debates #Debates2016 https://t.co/Rv94yxTyly,1474939914343,780580692946251776,0
57,Justin_McGrath1,"Dear Americans, 

To quote my boys @Metallica ""We're so fucked, shit out of luck. Hardwired to self-destruct""

#debates",1474939914697,780580694431006720,1
58,daddy_matt_dogg,Did Donald just call out the Fed?😍 #debates,1474939914784,780580694795747328,2
59,Dani_James22,"Did Donald just describe himself? ""Typical politician. All talk no action."" #debates  #debatenight",1474939914721,780580694531510272,1
60,berkfran,Improving economy with Obama after Bush devastation. #Debates #Debates2016 https://t.co/1ElpsvgNyg,1474939914197,780580692333846529,1
61,spnbarnes,@mishacollins https://t.co/vu27N83GJY,1474939914668,780580694309253120,1
62,MarthaEkdahl,Companies like Trump's benefit less from low taxes and more from regulations that keep competition out. https://t.co/CJ9MPO3smi #debates,1474939914717,780580694514728960,1
63,LebroJenkins,Which one is going to start just holding their breath until they get their way? #Debates,1474939914868,780580695148142592,1
64,Flickrj316,"Watch live! ""U.S. Presidential Debates"" #Debates https://t.co/6it2BOCRgc",1474939914729,780580694565134337,1
65,admorris05662,I hope Lester takes control of this debate.  #debates,1474939914833,780580695001432065,1
66,asj519,"@POTUS Trump tagged you in, I need you to let the chopper of insults fly... #Debates",1474939915684,780580698570665984,1
67,erod72erod,#sniffletrump #Debates,1474939915684,780580698570657792,1
68,JenniferSpaw,"Rude, arrogant asshat. #Debates #Debates2016",1474939915656,780580698453270528,1
69,delane,Trump really needs to stop disrespecting @POTUS. Show some respect. #debates,1474939915616,780580698285637632,1
70,MollyJongFast,#Debates https://t.co/YUK8bH3TPg,1474939915458,780580697622900736,1
71,Zaira_Ro,"@realDonaldTrump  está haciendo las mismas promesas que @EPN así que ""aguas"" #debates",1474939915693,780580698608369665,1
72,Juanpi88,Valiendo verga nivel Trump. @Ro_ChavezT @JosimarLS @Torrado0488 https://t.co/rkmj0uACCN,1474939915468,780580697664655361,1
73,ashleyrebekkah,"So why did you support her in 2008? Not a sheep, know you're in this for money #Debates",1474939915673,780580698524622849,1
74,Darren32895836,#debatenight #debates #debates2016 More political then Crooked Hillary Clinton???? WOAHHHHHH,1474939915740,780580698805538817,0
75,YeseniaSparkles,Did trump really just say the fed is doing political things? Well...yeah...thats what federal government does... #Debates,1474939915709,780580698675707904,1
76,fonziejwells,Somebody want to tell the audience @ the #debates that this isn't a stand up comedy show?  Do they know it's not #AGT ? 🤔,1474939915694,780580698612576256,1
77,TheeGrimR,Oh my god. #Debates,1474939915651,780580698432368640,1
78,drgrrlfriend,"Seriously, the moderators need to have a kill switch for the microphones at these #debates",1474939915711,780580698683998209,0
79,ChrisWHarding,#debates crush her Donald!!!,1474939915719,780580698717429761,2
80,RubelliteFae,.@wikileaks All 4 candidates answer the #debates #Debates2016 #debate #debatenight questions @ https://t.co/wYUy5RrcUp Check it out!,1474939915723,780580698734276608,0
81,the_hidebehind,@HillaryClinton We will need more than the anemic policies put forward under the last administration to confront climate change. #debates,1474939915668,780580698503667713,1
82,RjliiiRuss,"That's what bullies do. The one that is the loudest and rudest, wins. https://t.co/xWF3O6pwlp",1474939915766,780580698914709505,1
83,graceishuman,"Trump: ""We are in a big, fat, ugly bubble…and we have a Fed that's doing political things…this Janet Yellen.""

I can't #debates",1474939915694,780580698612723712,2
84,GastonOlvera,We are in a big fat ugly bubble.  - Trump #Debates,1474939915849,780580699262726144,2
85,nursewanderer,Hilary Clinton is showing her Queen Cersei smize here. #Debates,1474939916583,780580702341431297,1
86,alvarohiguero,#DebateS somebody is already crumbling under pressure @realDonaldTrump,1474939916477,780580701896863749,1
87,RealTimeBenny,"The only big, fat, ugly bubble is that thing on @realDonaldTrump's shoulders he calls a head. #debatenight #debates #Debates2016",1474939916580,780580702328803329,2
88,SheharyarQuadri,TAX RETURN #Debates,1474939916586,780580702354018304,1
89,Animefreak90,"#debates ""Politians, all talk, no action "" So he is describing himself.",1474939916754,780580703058526209,1
90,SuperDook,"""The Fed is doing political."" #debatenight #debates https://t.co/QiSHOD1L2J",1474939916548,780580702194544641,0
91,fireofphoenix90,"Hillary is smiling too hard. Lmao 
#debates",1474939916696,780580702815395840,1
92,megan_sholar,It's #bigly that both candidates support #paidfamilyleave #debatenight #debates #debates2016 https://t.co/3M806XIa1J,1474939916747,780580703029256192,0
93,SarahLLapham,"@realDonaldTrump says we are in a ""big, fat, ugly bubble right now"" and the ""fed is not doing its job""#debates",1474939916681,780580702752501760,2
94,DelPuertoPhoto,Does Trump forget how many businesses he has collapsed? #Debates,1474939916704,780580702848888833,1
95,semyonsemyonovj,Ahahaha The Centipede is ripping the lizard alive #debates https://t.co/V4AQi5ydAp,1474939916610,780580702454706176,1
96,scottford2,"""Doing political things..."" #debates",1474939916674,780580702723145730,1
97,tinareginee,i'm getting my ass on the next plane to america to punch trump in the face #debates,1474939916717,780580702903500800,1
98,LacySeiders,Actually our economic situation as of now is nothing close to what it was before the Great Depression.... #Debates,1474939916710,780580702874140672,1
99,tallcockMMA,#WhereIsGary #debatenight #Debates2016 https://t.co/AA26TUGx5p,1474939916733,780580702970523648,0
100,bigaustin619,I'm really hoping gun rights get brought up tonight. #debatenight #Debates2016 #debates,1474939916791,780580703213875200,0
101,Dre_225,"Alright, Lester. I see you! 😏 #debates",1474939916585,780580702349774849,1
102,meganjeankfb,Trump is a disgrace. Stop speaking over her when she is on her time. #debates #shutupwomenaretalking,1474939916695,780580702811201536,1
103,catbert234,#debates  Question about tax returns to #DJT - where's my popcorn,1474939916856,780580703486345218,1
104,Trevgauntlet,I'm waiting for this to happen. #debates #debatenight https://t.co/LwZ3ftv1CX,1474939916567,780580702274412545,0
105,ivanprintis,@ThisWeekABC @HillaryClinton Why not? #debates lol,1474939916609,780580702450581505,2
106,undonerainbow,bitch u didn't #Debates,1474939916899,780580703666831362,1
107,William50704194,Will Hillary talk about Trump's businesses in these country other than the United States.  #Debates,1474939917669,780580706896392196,1
108,marcijthephotog,Here we go... Get your computers ready for fact checking. #debates #Debates2016 #taxes,1474939917679,780580706938257408,1
109,Pappiness,You know what will make the stock market come crashing down? Donald J. Trump getting elected. #debates #debatenight,1474939917495,780580706166726657,1
110,outsidermagco,'building the middle-class rather than relying on trickle-down economics will strengthen our economy' --@HillaryClinton  #Debates,1474939917665,780580706879766528,1
111,arbp27,#debates Hillary not taking Donald seriously.  Patronizing.  Big mistake.  Offensive.,1474939917729,780580707148103682,2
112,Abrahamowicz,Watching this debate waiting for @aplusk to come out and tell us that we all just got punked #Debates,1474939917733,780580707164839936,1
113,fancyspatula,As opposed to going to the golf course to hunt octopus.  #Debates2016 #debates #debatenight #thanksobama,1474939917703,780580707039055872,0
114,diopaninaro,"big fat ugly bubble
...
mr trum r u talking about yourself? #Debates",1474939917666,780580706883891200,2
115,freelulu,"It's like debating the most spoiled, hyperbolic, hangry third grader who needs a nap. #debates #sochildish",1474939917514,780580706246270976,1
116,givememotion,it's like he's never reflected on anything he's ever said or done #debates,1474939917751,780580707240255488,1
117,Obiba_,"Go and talk your talk, your man just dey attack en opponent plus stray bullets. Lol https://t.co/YalBwYE8za",1474939917694,780580707001401344,1
118,diegokntu,Geez! Ese @realDonaldTrump parece del Frente Por La Familia. Le encanta discutir sin argumentos ni bases.  #debates,1474939917785,780580707382927360,1
119,FiascoShow,Trump peddling Fed nonsense or conspiracy theories at this point. What the fuck is he talking about? #debates,1474939917457,780580706007343104,1
120,suavelos_fr,"#Trump nous sommes ds 1 situation de bulle, la bourse a l'air de bien aller, mais augmentez les taux d'intérêt tout va s'effondrer

#debates",1474939917722,780580707118768128,1
121,kgarrison,Hillary's people ALL GOT IMMUNITY #Criminals The FUCKING FBI has given them all immunity Justice Lynch is fucking Bill on his plane #Debates,1474939917804,780580707462582272,1
122,TeekTheTweeter,#Debates Obama ain't going to the golf course. He's going to the Supreme Court. :p,1474939917811,780580707491991552,2
123,miningmark48,This is getting good. #Debates #DebateNight,1474939917697,780580707013885952,0
124,fakedeanspanos,"The fed ""is doing political."" OK Donald. #Debates",1474939917866,780580707722596354,2
125,dotfelixb,"Will someone correct Donald that Hillary is not the Secretary anymore, she's the formal Secretary #debates",1474939917784,780580707378819073,2
126,cinstarz,"Um did he say they're doing ""political things"" what the fuck does that even mean #debates",1474939917800,780580707445923840,1
127,MarleneTaylor17,"""the Fed"" #Debates",1474939918610,780580710843289600,2
128,NielsWolfe,Fat ugly bubble is the new name for Fox News #debates,1474939918498,780580710373392384,2
129,GrGrandmaFoster,Exactly. #TeamGov #LetGaryDebate #WhereIsGary? #Debates https://t.co/481cxLOMIS,1474939918597,780580710788857856,1
130,MIZADRIENNE1,"This is,why PEOPLE OF ALL COLORS NEED TO VOTE,   CAN U IMAGINE  TRUMP OUR PRESIDENT  WTF #Debates",1474939918577,780580710704943104,1
131,Noland_nyc,"Here we go, taxes. #debates",1474939918438,780580710121955328,1
132,DylanShaver,Appeal to their independence while they live with their parents?  How?? https://t.co/rC1xNkqYMd,1474939918514,780580710440656896,1
133,Leland_Seattle,"Thanks President Obama for 8 great years, and for saving America #Debates",1474939918641,780580710973214720,1
134,cshak1966,"You Donald are a big,fat, ugly bubble. #debates",1474939918630,780580710927196160,2
135,QueriousAlt,big fat ugly bubble #debates,1474939918720,780580711304613892,2
136,ItsaZ00,"@realDonaldTrump @HillaryClinton 
We all know that none of this matters. Neither will do what they promise. #debates #NotOurFirstElection",1474939918663,780580711065616384,1
137,afostehh,Donald Trump is the biggest eye roll of the entire CENTURY!! He is this generation's equivalent of Hitler ! #debates,1474939918655,780580711032127489,1
138,blueingy,Everyone outside of the US must be laughing their asses off right now. This is a train wreck. #debatenight #debates,1474939918687,780580711166345216,0
139,NicholasPell,#Debates2016 #debatenight #debates https://t.co/ovWWDrMKVp,1474939918434,780580710105034752,0
140,asmantz,👏🏼👏🏼👏🏼 https://t.co/YzgqqGg5O0,1474939918508,780580710415466497,1
141,ClickingSticks,So... all Trump has is a bizarre attack strategy and no plans or ideas about how to govern. #debates,1474939918765,780580711493357568,1
142,aliciaabney,"I swear to high heaven, I have about 5 minutes left of patience with Trump's childish interruptions. Good lord, act like an adult. #debates",1474939918681,780580711141085184,1
143,Good_Old_Bhoy,"Meanwhile, all the wealthy 1% in Hollywood (and the worst Arabic nations) are endorsing HILLARY! #MAGA #debates #Debates2016 #debatenight",1474939918752,780580711438884864,0
144,Kat4Obama,"There's really only Bully Donald, and Presidential Donald is his imaginary friend. #debates #Debates2016 https://t.co/FRcx0JMOVx",1474939918622,780580710893486080,2
145,dammitbeth,"I can see why the ignorant love @realDonaldTrump. Short sentences, small words. #debates #debatenight",1474939918402,780580709970898944,0
146,dabbytorres,Because that way I die before my student loans are due  https://t.co/rV2MYNc6of,1474939919531,780580714706329600,1
147,squonk_CDN,"""Politicians?"" Some gave us a surplus in the 1990s, Others gave us the meltdown of 2008. Don't give us specifics, Trump. #debates",1474939919727,780580715528196096,2
148,nwparsons,"Retweeted The Root (@TheRoot):

#Clinton tells people to go to her fact check page to point out #Trump lies #debates",1474939919699,780580715410763776,1
149,Ena_Strikovic,i am SO heated rn #debates,1474939919564,780580714844741632,1
150,awad_heather,Lmao! https://t.co/xYnXCzU7m1,1474939919620,780580715079630849,1
151,ricenbeanies,New Zealand https://t.co/BRKxH3JggG,1474939919500,780580714576277504,1
152,SLawnchairs,"We all know how Obama's trickle-down policy was super ineffective, right Hillary? #debatenight #debates",1474939919806,780580715859578880,0
153,cokes311,"Mr. Trump is clearly a big fan of simple sentences, when he bothers to speak full sentences at all.  #Debates",1474939919653,780580715218014208,1
154,desejoangolano,Every time Trump says #beautiful #drink #debates,1474939919523,780580714672644097,1
155,PleaseRuiz,What undecided voter will trust Hillary's fact checker? Anytime she refers to her past it only seems to hurt her. #debatenight #debates,1474939919744,780580715599499265,0
156,Kslanee,"It's not about who speaks the loudest, it's about who is the most competent.  #debates",1474939919667,780580715276611585,1
157,rblazak,Nothing more frightening than a coked up bully. #debates #debatenight @realDonaldTrump,1474939919727,780580715528278016,0
158,tinyDANster,God bless this man https://t.co/7bTDHNWdiq,1474939919751,780580715628867585,1
159,jjmoc13,#Debates I don't own a company but I know what will happen if wages go up oh boy a lot of companies will close,1474939919653,780580715217817600,1
160,TheVictor69,@HillaryClinton is smashing him with #FACTS#Debates,1474939919686,780580715356356609,1
161,BoSSneSS,Trump totally roasting #HRC though. 😂 He's quite hilarious. Hillary is a dull woman.  #Debates,1474939919724,780580715515744256,1
162,DJEagles11,"I fucking hate Donald Trump.

#Debates",1474939919788,780580715784237057,2
163,crpmagnet,No one cares about trumps taxes https://t.co/0HlDpdUDp2,1474939919641,780580715167485952,1
164,chumponthestump,"LOL.. Donald's tick- extreme hand motions
Hillary's tick - ocular tremble
 #debates",1474939919852,780580716052566016,2
165,NOLASchinDig,"He's finally starting to call her out about ISIS, which leads into Benghazi. CANT WAIT. Hilary is toxic #debates #Debates2016 #debatenight",1474939920686,780580719550619652,1
166,deaux6,"That's the only way economics works, you know this tho https://t.co/ch3nNcvuwo",1474939920714,780580719667978240,1
167,kiewtga,He's dragging the Fed. Where are the Ron Paul stans? #debates,1474939920767,780580719890345984,1
168,Mr_Ambition24_7,Audit blah blah #Debates,1474939920683,780580719538077698,1
169,napernurse,No USA 99% is suffering because 1% ppl like u are not paying fair share of taxes! Where are your tax returns #Trump? #debates,1474939920661,780580719445901316,1
170,SaraMKnox,"If we were in  bubble, this would be the worst time to lower taxes! Get an econ degree, man. #debates",1474939920716,780580719676444672,1
171,itssarabruh,"#Debates Hillary: ""I'm gonna get blamed for everything--""
Trump: ""Why not?""",1474939920724,780580719710072834,2
172,tucsonted66,@realDonaldTrump your in a pickle not a bubble @HillaryClinton i think he helped put us there #debates,1474939920650,780580719399620608,2
173,KennethS_OR,THANK YOU LESTER FOR ASKING ABOUT HIS FUCKING TAX RETURNS #debates,1474939920681,780580719529566208,1
174,shinyredrain,"OMG LOL
!RT @_Snape_: Lord Voldemort.
#debatenight #debates https://t.co/uBcu89aDAw",1474939920702,780580719617638401,0
175,GilbyGilson,"""The Fed is being more political than Secretary Clinton."" #Debates",1474939920786,780580719970037762,2
176,ScottPresler,"""The Fed is being more political than Secretary Clinton.""

I'm screaming! 😂😂😂
#DebateNight #Debates",1474939920751,780580719823314944,2
177,ItsMeCoon,Hilary when Trumps talking #Debates https://t.co/KtKnW0TKQx,1474939920534,780580718913003520,1
178,MatthewBrinerPA,Why does that angry pumpkin keep interrupting Sec. Clinton? #debates #debatenight,1474939920690,780580719567441921,1
179,JohnDarktime,"Nobody is doing their job, except for him stfu #debates",1474939920742,780580719785574400,1
180,PeteZahHutt,If I could make videos as entertaining as this I'd be a millionaire #Debates,1474939920834,780580720171298816,1
181,hmp913,"""Bigly"" is not a word, Mr. Trump. #debates #Debates2016 #STAYAWAYFROMMYWHITEHOUSE",1474939920697,780580719596888064,1
182,elesablitzer,@HillaryClinton has a permanent smirk on her face 😏 #Debates,1474939920768,780580719894683648,1
183,nevrmissabeat,Let Hillary &amp; Lester Holt speak... geez #debates2016 #debates,1474939920763,780580719873654785,1
184,littlebitmonica,Trump interrupting at every point just reminds me of the interrupting cow knock knock joke. #debatenight #debates,1474939920762,780580719869435904,1
185,JoshuaNoonan,Fearful @realDonaldTrump won't release his taxes! #debatenight #debates #Debates2016,1474939920557,780580719009685505,0
186,NCPA,From @NCPa's @Pam_NCPA: https://t.co/idkX7Ya1cz,1474939920724,780580719710072832,1
187,nmessina,#StopMansplainingTrump #debatenight #debates https://t.co/qD1gd9gu3l,1474939920706,780580719634546688,0
188,blross23,Ouch. https://t.co/GGC5ev5Fal,1474939920767,780580719890489345,1
189,Mirandalim89,Hilary is the only one working in govt so she should be blamed for everything #debates,1474939920837,780580720184008704,1
190,andres_cnacento,"""Típico de político..."" acaba de decir Trump. Outsider, baby #debates",1474939921248,780580721907863554,1
191,fuckboiparnasse,I love Hillary just laughing at Trump's crazy omg #debates,1474939921743,780580723983912960,1
192,918digital,Yep per https://t.co/6Bfk3DJjLY,1474939921633,780580723522613248,1
193,davecupples,Finished #bootthefat #mealprep in time for #debates #debatenight #presidentialdebate #trump #hillary https://t.co/aUMwWMyycJ,1474939921649,780580723589844992,0
194,ajabeech,"""The FED is doing political."" - Donald Trump #debatenight #debates #Debates2016",1474939921766,780580724080422913,2
195,ExarKun88,I really need Trump to stop interrupting... I can't afford a hangover tomorrow #debates #Debates2016,1474939921787,780580724168531968,1
196,wincha8,Trump has already gone off the rails.  Shut up! It's not your turn! #debatenight #debates #Debates2016 https://t.co/5dk0k9bCvd,1474939921490,780580722922835968,0
197,SoySonyMejia,#debates 😅 https://t.co/uzJhqkoxxy,1474939921535,780580723111505920,1
198,plow4507,"#Debates #HillaryClinton She is diiiirrrrtttyy #Cringe #AmericaNeedsChangeNotTheSame Get used to it, @realDonaldTrump is out new prez🇺🇸🗽",1474939921841,780580724395028480,1
199,Lsohfan,That smug ass grin on Clinton's face though #debates,1474939921642,780580723560484864,1
200,dcalfe,Trump is aggressive but Clinton is way too smug #Debates,1474939921840,780580724390801408,2
201,ggd169,"#debates #realDonaldTrump #CrookedHillary refers to ""wealthy people"" as if she's not one herself?#awkward https://t.co/TRbBdyMLij",1474939921825,780580724327849985,1
202,roselynplacide,"Trump is incompetent on the stage, only attacking HILLARY,Mr Trump what's your policies,but still not releasing his taxes  #Debates",1474939921754,780580724030181376,1
203,CarrieKHutchens,Trump is the one that wanted to get jobs back 4 regular people. What the heck is she talking about? #debatenight #debates #debates2016,1474939921863,780580724487225345,0
204,KatrinaZek,Is this all a hoax to get us to see #Trump &amp; #Hillary's halloween costumes?👻🎃 @NCCollegians #HofDebate16… https://t.co/v1GI0PwCEc,1474939921711,780580723849891841,1
205,writingMaine,"""Foreigners took our jobs."" Anything else, @realDonaldTrump? #Debates",1474939921866,780580724499939328,1
206,jfnaz,#Debates  Holt needs to quit being afraid of Trump and shutting him down when he interrupts.,1474939922708,780580728031485952,1
207,SharanyaaVasan,"Trump making a huge deal that he's being civil and calling Hillary ""Secretary Clinton"" like he deserves a pat on the back #CryBully #debates",1474939922761,780580728253784064,2
208,DKerrFamily,Can we please start the whole election process over . . . neither of these people are fit for the office!!!! #Debates,1474939922696,780580727981158400,1
209,Will_Bourque7,I feel like I'm losing brain cells by the second listening to Trump talk #Debates,1474939922502,780580727167549444,1
210,joppenflopper,Being able to come to Twitter and watch people make fun of the #debates in real time is my favorite part of the 21st century.,1474939922708,780580728031424512,1
211,TrevBaileeTymom,So far the best comment of the night  https://t.co/frZdRDCBWo,1474939922547,780580727356358656,1
212,AmakaTheHungry,Didn't Trump say he knew more that he knew more about ISIS than the generals? #Debates,1474939922706,780580728023216129,1
213,NetteMarie_,lmfaoo someone please get this man back on track smh  #Debates,1474939922689,780580727951876097,1
214,BB2spine,#debates trump is talking in circles.,1474939922707,780580728027348994,1
215,_thisshortgirl,Our country gone suffer more if Donald Trump become president #Debates,1474939922704,780580728014725120,2
216,holllywood13,I wonder if Hilary and trump purposely coordinated their outfits tonight 🇺🇸🇺🇸🇺🇸 #Debates2016 #debates,1474939922836,780580728568414208,1
217,KylieBurgundy,"I LOVE HER SMUG FACE MORE THAN ANYTHING 
#debates",1474939922840,780580728585097216,1
218,SabaChishti,What else would Obama do at a golf course?! #Debates,1474939922564,780580727427563520,1
219,ConfusionLand,#debates thrums a big fat bubble https://t.co/6vG6EOeOXV,1474939922539,780580727322705920,2
220,Marc_McKee,Don't we have the worst recovering economy since the Great Depression because we had the worst crash since the Great Depression? #Debates,1474939922809,780580728455073793,1
221,kvng_alston,Trump is a ASSHOLE!😡😡😡 #Debates,1474939922833,780580728555892736,1
222,Carejanez,This is so interesting to watch 😂 #Debates,1474939922887,780580728782196736,1
223,luscapinho,"CARALHO, TRUMP FALANDO O FED E DA BOLHA QUE EXISTE AGORA
QUE HOMEM  #debates",1474939922866,780580728694251520,1
224,alto_jew26,This debate would be worth watching if @GovGaryJohnson was on that stage #LetGaryDebate #debates,1474939922738,780580728157433856,1
225,WumboHadMeLike,"""we are in a big fat ugly bubble"" #debates https://t.co/ssPTiMpCuh",1474939923107,780580729705074688,2
226,justinmshep,It’s truly night and day with these candidates #debates I really can’t stand the way Trump talks. He has the WORST grammar.,1474939923602,780580731781320709,1
227,peytonism,If he mentions her health I get a BINGO. C'mon Dongo! don't let me down! #Debates https://t.co/mkPS8jJOPR,1474939923312,780580730564993024,1
228,kaylarichard98,"Trump is a big, fat, ugly bubble. https://t.co/tzP2H08T31",1474939923626,780580731881828352,2
229,BridgetAyers,I feel sorry for @LesterHoltNBC this is like trying to herd cats #debates,1474939923660,780580732024389632,1
230,kim_A_mugae,웹은 이렇게 나옴 #Debates https://t.co/3gvSjnzJfJ,1474939923489,780580731307167744,1
231,chunkythndr,"""Refinance their debt from college at a lower rate.""

Federal consolidation loans are at like 3.5%. This crazy old bag. #debates",1474939923669,780580732062273540,1
232,AmyGbldn,Audit. Yeah right.  #debates,1474939923743,780580732372602880,1
233,Circa,"Donald Trump’s website is down right now.

Hillary Clinton’s is up.
#debates #debatenight https://t.co/w5i0Vlo3yW",1474939923156,780580729910689793,2
