,geo,screen_name,text,tweet_id,cluster_pred
42,,LetiziaRossetti,"E va beh, se lo merita Veep, avrei preferito Master of None per cambiare #Emmys",777701783376371712,0
43,,XoyceSantana,"Não temos que falar, só sentir!! 💙💙  https://t.co/r8VmSHr2ei",777701783195955200,0
44,,Gress7,"Larry David; amo y señor.
#Emmys https://t.co/2FslfbNh6N",777701783254687744,0
45,,sarahcasillas,"eu quando beijar o crush
https://t.co/1F2RvJizQj",777701783456153601,0
46,,CamFaid,Finally https://t.co/HaynXZIMlu,777701784013774848,0
47,,fearlesshunn,e la tipa cade #Emmys,777701784261451778,0
48,,monbomfim,"cherish this moment, people #CloneClub #OrphanBlack #EmmyForMaslany #Emmys https://t.co/bJhxuTVBD4",777701784404029440,0
49,,SacredWall,"No surprise that Veep wins the Emmy, considering it's almost a documentary at this point #Emmys",777701786912116736,1
50,,KNXmargaret,"""Veep"" wins 2nd consecutive Emmy for Outstanding Comedy Series. @KNX1070 #emmys",777701786962452480,1
51,,RealitySocial,EITA CAIU #Emmys https://t.co/rljAYT0YpZ,777701785502908416,0
52,,fusssa,Que patética la que gano un #emmys y se lo agradeció a Hilary Clinton;quiero ver si realmente votan todos esos que le chupan el culo...,777701787356848128,0
53,,ViraGunn,I love #Veep; but I feel #MasterOfNone and #Transparent were FAR stronger than it this season. :/ #Emmys,777701786958360576,1
54,,outroren,Pensei q era melhor serie dramática já #Emmys #EmmyNaWarner,777701787314839552,0
55,,DouglasAll,Tenho q voltar a ver #Veep... #Emmys,777701787772055552,1
56,,ozclovera,Emmy sahnesinden Patriarkayı yıkacağız dedi güzel kadın 💜 https://t.co/hzR5FWjqLS,777701787264512000,0
57,,anne_chavez,eu subindo no onibus e tweetando https://t.co/1LpXecAGtP,777701787591643136,0
58,,AaronovichJoker,"Okay, Veep was pretty consistently hilarious. #Emmys",777701787784638464,1
59,,TheDivahFilez,Outstanding Comedy Series Goes To...#Veep #Emmys https://t.co/hdYQot9slL,777701786727710721,1
60,,Geospatech,businessinsider: Matt Damon continues his hilarious 'feud' with Jimmy Kimmel at the #Emmys https://t.co/nx0fHDUHJo https://t.co/Ua9p6e3Ewu,777701787700789248,0
61,,TonyMaglio,"Thank God Larry David didn’t have to hand over a Best Comedy #Emmy to #Transparent. 

#Emmys",777701788329844736,1
62,,SandraNoS,"Football, #Emmys or a few episodes of #ArrestedDevelopment - I choose option C for the win!",777701790884237312,1
63,,ritchieev,@NatPhantomhive https://t.co/g0agr3edrZ,777701790716354560,0
64,,Phunky_Brewster,"VEEP is so good, y'all. And this last season was gold. #Emmys",777701790938755072,1
65,,RollingStone,#Emmys Outstanding Comedy Series #Veep is still fresh because of its relentlessly vicious tone https://t.co/ib2cgGWQdK,777701790926110721,1
66,,bouledesuiff,*white women https://t.co/FOE42cFawU,777701790901043200,0
67,,gracetigerr,I think the #NutrishDog was dressed to impress at the #Emmys https://t.co/TQIdaBolZV,777701791278460928,0
68,,Zendayafanarmy,I can't believe 3 of my faves have taken emmys home today #Emmys,777701791676915712,0
69,,_dsan,O cast de Orphan Black todinho ganhou o #Emmys https://t.co/FVG7Uq6QwY,777701791018446848,0
70,,Grace_Cordelia,STAI GUARDANDO GLI #Emmys https://t.co/hEuFKYtDwp,777701792066969601,0
71,,SwikritiPanth,#Veep!! So deserved! #Emmys,777701792406769665,1
72,,mstrinket,"Comedy is basically Veep vs Transparent, even though Blackish deserves it #Emmys",777701792742113280,1
73,,coisasdaanablog,E o prêmio de Melhor Série de Comédia vai para... Veep! #Emmys #EmmyNaWarner https://t.co/1FodMJkhFe,777701792121487361,1
74,,Alda185,Spoiler Alert: esa mamada llamada The Big Bang Theory gana comedia #Emmys,777701795028054019,0
75,,nicopulido94,Veep se los está garchando a todos. #Emmys,777701795510546432,1
76,,fernandalucena_,PIOR #Emmys,777701795405697024,1
77,,WiltedScribe,As if having Larry David present this wasn't obvious enough... BUT yay for VEEP. #Emmys,777701795682324480,1
78,,Kristiturnquist,"Meanwhile, back at non-surprise wins, #Veep wins best comedy. #Emmys",777701795795611649,1
79,,clay_brice,The #Emmy for Outstanding Comedy Series goes to @VeepHBO! #Emmys,777701795825119233,1
80,,6quinn9,🙏🏻 https://t.co/sWHUrpCZg9,777701795661488128,0
81,,lubnarxx,Why is there a tiny drake #Emmys,777701795946790913,0
82,,BeThoughtfull,Upworthy : Orphan Black's Tatiana Maslany wins! #Emmys https://t.co/n3zGh68vMB (via Twitt… https://t.co/cCpd2X869P) https://t.co/wEo4OhU6vQ,777701794348732416,0
83,,KendraBCambra,About time and very well deserved!! Congrats @tatianamaslany!!! 👏🏻 https://t.co/bUXdErhPBt,777701795976056832,0
84,,lfavbieber,Gente que maravilhosaaaaaa😍😍 https://t.co/YL23gzlydp,777701796508798977,0
85,,KatherineSophie,Yay #Veep!!! Love that show! #Emmys,777701796328407040,1
86,,artbum1213g,verge: RT ohnorosco: Whoa: Rami Malek and Tatiana Maslany win best acting nods for drama #Emmys … https://t.co/XDfSz5Pvsm,777701796525539328,1
87,,Oliverdirtyb,Sad that Transparent lost but glad it was to #veep because @Aiannucci is my hero and this show is aces. #emmys,777701797330841600,1
88,,Culturalist,Congrats to @VeepHBO for winning Best Comedy! #Emmys2016 #Emmys #Veep #HBO https://t.co/S7kCr825Rq,777701798790373377,1
89,,thedonjr16,I really truly hate this show Veep #Emmys,777701799709007872,1
90,,gvirus_,Yes!!! Até caiu a JLD. https://t.co/eNeyX9P4zo,777701799839006724,0
91,,DebateWith0Hate,Stupid. White people vote for dumb unfunny shit... https://t.co/INt7wGVa1W,777701799851503616,0
92,,brunalouise,"E a @tatianamaslany tinha que ganhar um prêmio pra cada personagem da série que ela faz também, SÓ ACHO. #Emmys",777701799490977792,0
93,,_tatah_,Mas tarra torcendo pra Master of None #Emmys,777701800191426561,0
94,,jammgo,VEEP pegou melhor série de comédia #Emmys ❤❤❤❤❤,777701800363323396,1
95,,princessuzanne5,#Emmys,777701799079870465,1
96,,bishy3,Is anyone as bored with the #Emmys as I am? 💤😴,777701799981568002,1
97,,bct_sovietica,Mininu da mamain  &lt;3 #Emmys https://t.co/TAiK3H35CZ,777701800338161664,0
98,,terrape,"#Veep es la mejor serie de comedia. #Emmys 
► https://t.co/083xL06AEF https://t.co/2AtKQ4jmhH",777701799734247425,0
99,,natetcetera,Chorei https://t.co/Ht2jVuW9Ee,777701799876784128,0
100,,identikittten,proprietários da empresa mundo https://t.co/j8frJnCJy4,777701800308793344,0
101,,HeyRatty,"VEEP! Not even a contest.

#Emmys @VeepHBO",777701799859986432,1
102,,avb,As it should. https://t.co/Xyu0THpmJb,777701800321355776,0
103,,TheLadySeestra,HASILKAOOI3JG0OIA74H NKLAOD09UA8SDFG AOIFJNAN VENCEUUUUUUU!!! TATIANA RAINHA DE TODA ESSA PORRA AQOIJW´AIFDA #EMMYS https://t.co/SBfbDuMuYK,777701800367513600,0
104,,KateComer,"""I think my little presentation went quite well."" Never change LD! #Emmys",777701801193639936,0
105,,JeOVaNii7,#Emmys 🙉,777701803823554562,1
106,,SosaSabru,Eternos #Emmys,777701803936870400,0
107,,panicscott,que bosta #Emmys,777701803437719552,1
108,,vicdadepre,agora que meu filho rami malek ganhou eu posso ir dormir sossegada e feliz #Emmys,777701803391651840,0
109,,hipaulaborges,SESTRA MARAVILHOSA MERECEDORA! 💜 https://t.co/zEFADv4cXq,777701803701993472,0
110,,InEarnestPod,Literally anything with Larry David is good. #Emmys,777701804079509504,1
111,,needleholeshop,The best celebrity Instagrams from the #Emmys: https://t.co/Dd61ap4GrA https://t.co/UU59B0c0Ho,777701804008144896,0
112,,thinnchrispy,Emmy Rossum is at the #Emmys 😍,777701804284841984,0
113,,katrina_lox,GAH I WAS SO SHOOK WHEN THEY ENTERED ON BIKES WITH THE SANDWHICHES AND THE STRANGER THINGS THEME SONG PLAYING https://t.co/1xQv18HAaL,777701803827814400,0
114,,maggydias,"A última coisa q eu aceito q digam é q foi injustiça essa mulher merece mais de 10 #Emmys, um p cada clone",777701804448546816,0
115,,mapleleaftule,"I knew it, @tatianamaslany CONGRATULATIONS, you totally deserve it, I'm so happy 🎉.

#Emmys #EmmyForMaslany #CloneClub",777701804205219840,0
116,,cobrasnow,Modern family amo podia ter ganhado de novo #Emmys,777701804519911424,1
117,,PrivyLiz,@themoussakagirl https://t.co/t2Kn8dOQwi,777701804356370433,0
118,,KishoreYen,"Yeah, finally. https://t.co/X2TNESYCaA",777701804536500224,0
119,,CaitVictoria21,"Award shows are my sporting events and the #Emmys are the season opener. 
#andherewego",777701808206598144,0
120,,danicimputa,Vou até acordar feliz #Emmys,777701807959183361,1
121,,dontrustjb,esse premio pra tatiana foi MAIS que merecido cara #Emmys,777701808085078017,0
122,,Jdmunacr,"Dammit, tengo que ver Veep
(Aunque me enojan porque por ellos no gana Silicon Valley) #Emmys",777701808428847104,0
123,,MarjoriHaddad,"Ojalá no se ponga de moda spoilear Mr Robot, porque no he tenido tiempo de verla #Emmys",777701808248594432,0
124,,Norchell706,TONY!!  #EMMYS I love his beard.,777701808122855425,1
125,,TreasurHooligan,"WHAT THE HELL
IDEK WHAT IS THAT SHOW ABOUT #Emmys",777701808340869120,0
126,,barbidennise,Si alguien se merecía el Emmy hace rato era Tatiana Maslany #Emmys,777701808617684993,0
127,,techsavvydiva,Apparently I need to what all the #VEEP hype is about. #Emmys,777701808886063107,1
128,,locaIblackstan,ICONIC  https://t.co/tJIItObMuh,777701808273756160,0
129,,oqluis,Tatiana ganhou e tô chorando pq ela merece dms #Emmys #EmmyForMaslany,777701808852598784,0
130,,FerCabani,🤔 #Emmys2016 #Emmys @lacosacine https://t.co/E2Ek4uJWTl,777701807703359488,0
131,,thekatiewilson,So happy for #Veep !!! #Emmys,777701809401901056,1
132,,dickensmw,"Well deserved win for perhaps my favorite comedy currently on TV, #Veep! #emmys",777701809213149185,1
133,,kellytoldmeto,Yawn #Emmys,777701808756097024,0
134,,Markuzna70,Transparent &amp; Rami Malek 🏆🏆 #Emmys,777701812115693568,1
135,,femmnoir3,The ladies are Killin it #Emmys,777701812153507840,1
136,,Arrow95__,مفروض مكانك هارفي بس ماش https://t.co/vzqUomuwAG,777701812229005312,0
137,,OfficiallyAnty,OOP 😭 #Emmys,777701812644225024,0
138,,cokeaddict,She tripped going up the stairs. That would *so* be me. #Emmys,777701812526784512,1
139,,KarelNareswaraD,Someone just tripped #EMMYs,777701813260656640,1
140,,masoqline,TATIANA MASLANY ACABA DE INVENTAR O EMMY #Emmys,777701813017600000,0
141,,hcorrubia,I never thought I would say this but I need to step my TV game up I don't know who half these people are #Emmys,777701813231288320,1
142,,RoooPena,"#EmmysPorWarner 
#Emmys 
Tendría que haber ganado Modern Family",777701813193699328,0
143,,rhawlys,veep todo mundo já sabia #Emmys,777701812946210816,1
144,,mistakesgrande,TATIANA E SARAH COM EMMY EU SONHEI COM ESSE DIA VARIAS VEZES #Emmys,777701813697019905,0
145,,leticiiaduarte,"to tão acostumada com a voz do borgo e da aline que nem me toquei que eles tavam comentando o #Emmys, tava achando que era o omelete",777701813881536512,0
146,,jt5653,"If #TheAmericans wins Best Drama, I will literally die after those Tatiana and Rami wins #Emmys",777701816301555712,1
147,,_pleslie_,I can't believe all my faves are winning 😭 #Emmys,777701816687398912,0
148,,GPzinhu,só me faz lembrar que preciso me atualizar na serie #Emmys,777701816482066433,0
149,,grosenstein,We sadly are going to miss out on a potential T.J. Miller acceptance speech. #SiliconValley #Emmys,777701816729530368,1
150,,Walkin_mn,#EPICWIN #Emmys https://t.co/abWOMsUO4e,777701816720994304,0
151,,pilarfelix,@VeepHBO!!  Congratulations #Emmys,777701816154939392,1
152,,unicorniadomau,Tatiana ganhou o #Emmys https://t.co/FiTuSINOJh,777701815861129216,0
153,,PoltronaNerd,Melhor Série de Comédia: Veep https://t.co/lSmj4sZmoN #Emmys https://t.co/FHtw52RYT4,777701815873859584,0
154,,bosho0,عو راح لحلاق باسم مرسي ! https://t.co/tDdP9mCeMi,777701817073434624,0
155,,mulhernocinema,"""Veep"" leva o #emmys de melhor série de comédia",777701817538924544,1
156,,chris_drown,Julia just fell up the stairs I'm shook #Emmys,777701817085988864,0
157,,TKRUEGERTCU,I think the #NutrishDog was dressed to impress at the #Emmys https://t.co/bVBGUC8U5E,777701817647935489,0
158,,ohhushchloe,please invite larry david to host next year #emmys,777701817622888448,0
159,,phyloren,nem assisto mas merecidissimo https://t.co/8OfdjlmrQF,777701817467691008,0
160,,gameofcap,"O #Emmys de Melhor Série Cômica vai para:
Veep https://t.co/bU6F7J2OMG",777701817291530240,1
161,,mndbsstt,"The more you learn. Damn, I can't believe the show's a dozen years old now. https://t.co/4PE84ADZ9l",777701818520469504,0
162,,bookshield,Não me surpreende Veep levando o prêmio da noite. A série era queridinha do ano! #Emmys,777701820743507968,0
163,,colastrom_,"Veep ganhou
Nada de novo sob o sol  #Emmys",777701821074796545,1
164,,sootster,What the fuck is My Girl wearing? #Emmys,777701821745733632,0
165,,weartv,"""Look at me! I'm presenting!"" #Emmys https://t.co/gJMIcVvQH1 https://t.co/5AVGkVcSqO",777701820101718016,0
166,,NewFormDigital,.@VeepHBO wins their second Emmy for Outstanding Comedy Series! #Emmys https://t.co/1O4eizQULV,777701820613308416,1
167,,LeratoAnzjp,"エミー賞にプレゼンターで登場する時に颯爽と歩くデーモン・ウェイアンズGif。
#DamonWayans #Emmys https://t.co/hFdSl1bjFd",777701819862614016,0
168,,BenjaminJS,Julia Louis-Dreyfus tripped and 10 Emmys fell out. #Emmys,777701822072889346,1
169,,delsina363,#emmys Who is that lady from Veep dressed like a sack of potatoes ?,777701824660996096,1
170,,flavialactea,AAAAAAAAA https://t.co/3VZSzRbcMl,777701824598052864,0
171,,zaccolong,Eu preciso ver veep #Emmys,777701825126473728,1
172,,NatalieChicago,Sorry but @SiliconHBO was funnier this season than @VeepHBO #Emmys,777701824954499073,0
173,,Canal_Sony,"Cuando el ""drinking game"" de los #Emmys salió demasiado bien... #emmysony (Ufa que perdió Blackish) https://t.co/WfT6nAdWSp",777701824723841024,0
174,,SandyDeise,AH MEU DEUS ❤️ https://t.co/XO74ucszmC,777701825222934529,0
175,,GuilledroFans,Uh Larry 😯😄 que capo más grande.  #Emmys,777701825910829056,0
176,,mzandonai2,#Veep não era um reality show? #Emmys,777701828918145026,1
177,,John_Walton_,#Emmys  #CloneClub @OrphanBlack,777701829207400449,0
178,,XxLadyLushxX,Some old Hollywood throwback! https://t.co/3tMiriwqvj,777701829060599808,0
179,,fackinpeter,"i think @OfficialJLD has a case of pneumonia
#Emmys",777701828993622017,0
180,,OllantaCumplio,#Emmys Mejor serie de comedia: Veep,777701829148803073,1
181,,undersemi,não acredito que finalmente o emmy ganhou tatiana maslany #Emmys,777701829329190912,0
182,,THEmattjamieson,"@Sprfshn WHERES THE DAMIAN GIF, WHERE IS IT!? #Emmys",777701829500993536,0
183,,TWBiotch,"ok, i'm not watching the #emmys, but for @ItsRamiMalek and #mrrobot that's worth the rt's - c'mon! https://t.co/tx9dbdCEmX",777701828922187776,0
184,"[-23.44708415, -47.48309062]",luuondit,Modern Family perdeu pelo segundo ano consecutivo pra Veep #Emmys,777701829224370176,1
185,,brsullivan22,#VEEP #YES #EMMYS,777701829673189376,1
186,,Edu_Sacer,Claramente melhor série! https://t.co/yEUDd1vZa0,777701829085896704,0
187,,norance,Veep? Ugh. Over it.  #Emmys,777701829098377216,1
188,,monteiro_caroll,Finalmente 💜 https://t.co/mXWWwGpFfb,777701829614374912,0
189,,kalitvintsev,"Harika
Harika
Harika... 
Mr. Robot hak ettiğini aldı.  #Emmys #Emmys2016 https://t.co/TeP2RCQfjj",777701828502880256,0
190,,IKingMoha,"••افضل اخراج لـ مسلسل درامي••
#GameofThrones 
#Emmys 
#Emmys2016 https://t.co/Avuih1nhIB",777701828318392321,0
191,,yugigt,Menos mal no ha ganado Modern Family!!! #Emmys,777701830339932160,1
192,,HaughtLexa,TATIANA MASLANY IS AN EMMY WINNER! #Emmys #EmmyForMaslany https://t.co/oyVum8WKQq,777701829190836225,0
193,,meaganbrosnan,"Love Veep!
#Emmys",777701830306304001,1
194,,Britkins07,What a humble acceptance. I've been wanting to see Mr. Robot. #Emmys,777701833095512065,0
195,,msgoddessrises,Nope they got it wrong. Disappointed. https://t.co/fbij1Nk4ak,777701832738996224,0
196,,marttinsiago,TATIANA GANHOOOU POHAAAA #Emmys,777701833276067840,1
197,,_BunmiA,Wth is Veep. Ive never watched that b5 #Emmys,777701833644978176,1
198,,TheFashionCourt,Millie Bobby Brown wore a @REDValentino Resort 2017 bird embroidered sheer dress to the #Emmys. #Emmys2016 https://t.co/fxUFqP3DW5,777701829131898880,0
199,,kiiing45,amem tatiana maslany https://t.co/uGLXhdhtXR,777701833305391104,0
200,,melinafonso,nossa veep só não deve ser pior que o programa do adnet sei la #emmys,777701833431285760,1
201,,TecnoGx,"@Caroo_Rivera Jajajaja 😂 😂 😂 tengo que verla, yo quiero empezar a ver Master of none! Ganó como mejor comedia gringa y ahora en los #Emmys",777701833531883520,0
202,,dinnerpartydnld,Congrats to @tatianamaslany! She gave great advice for dealing w/ an annoying friend https://t.co/fcjdeoZWWM #Emmys https://t.co/qqYjrZdeED,777701832923623425,0
203,,jsneedles,I hope this is a prequel to the next season of Curb. #Emmys,777701833519173632,0
204,,TalynDanielle,My girls Maisie Williams (Arya) Emilia Clark (Daenery) Lena Headey (Cersei) were robbed tonight at the #Emmys. https://t.co/WqA6rBti0k,777701832865017856,0
205,,fernethalsey,Se lo merecía más que nadie #Emmys https://t.co/Awo7SUrMNl,777701833309614080,0
206,,dysfnctnly_sane,So much perfection in these photos. @tatianamaslany #KateMcKinnon #EmmyWinners #Emmys https://t.co/sekwO3JW2z,777701832793600000,0
207,,uaidessa,Veep. #Emmys https://t.co/FfOqzVcwgQ,777701833829715968,1
208,,harrysadhuguna,My man https://t.co/Xr0ZK5lJID,777701833812811776,0
209,,lol_ferrari,Melhor série de comédia ainda é Veep. Pelo segundo ano seguido. #Emmys #fb,777701834303606786,1
210,,whoismrrobotbr,O prêmio de melhor série dramatica é o próximo #Emmys,777701834521776128,1
211,,EmilyMetzger,Its about fucking time!!! 🙌🏽 https://t.co/x7slh6hObR,777701837268889605,0
212,,ThinkNelson,Veep makes my spleen hurt. I love it. #Emmys,777701837340233728,1
213,,AcerbicAnnie,Is Anna wearing a curtain? #Emmys,777701837013037056,0
214,,dianemusselman,Congrats! Really deserved! https://t.co/YjDlGMN6Uw,777701837059129344,0
215,,purpwsr,tão merecidooo #EmmyForMaslany #Emmys,777701837390635008,0
216,,parisacueca,PORRA VEEP SERKL SZMSMZMAM?????????? #Emmys,777701837516472321,1
217,,kimberly_schi,Uma leve caída #Emmys,777701837642293248,0
218,,julianasouzajs,Porra @HugoGloss lacra demais  #Emmys https://t.co/QZ4EKEaqYW,777701837281587200,0
219,,lovely30,"""Blackish"" should have won!! WTH!?#Emmys",777701837642182656,1
220,,Mandy_Sep,UFA....... badge bronze garantido!!! #Emmys,777701837780770816,0
221,,ftnbtl,"ارخص سيرفر بيع متابعين سارع بالتسجيل
https://t.co/qiyYr3fHtv
*
*٧

 #من_منطلق_خبرتي_بالحياه #Emmys #متصدر_لاني_اتحادي #ماعندنا_بنات_للزواج",777701837587750912,0
222,,xmsy,Yey! https://t.co/4FVMeqpCSZ,777701837759655936,0
223,,txvoodoo,Bowie &amp; Prince both still have me grieving.  https://t.co/BBstpj02pz,777701838116102144,0
224,,NormanGoldenll,Awwwww Julia!!!! #Emmys,777701837969371140,0
225,,qsef0da,A Júlia fazendo cosplay de Jennifer Lawrence ahauahau #Emmys,777701838216912896,0
226,,people,#StrangerThings kids perform adorable rendition of 'Uptown Funk' during #Emmys preshow https://t.co/vjINFaLkfk https://t.co/Hvt43J6YRM,777701837537480704,0
227,,SergioFrancisCB,😍😍😍 https://t.co/amUw3bQXct,777701838351204352,0
228,,gotadream_,I'M SO HAPPY RIGHT NOW!!!! CONGRATULATIONS!!! https://t.co/nUFHYajRXN,777701838548262912,0
229,,azsunset12,I think the #NutrishDog was dressed to impress at the #Emmys https://t.co/UjWXCawFCh,777701841748406272,0
230,,dibiasio,"Lol why does the one show i don't watch in each category keep winning 
#Emmys",777701841341706240,0
231,,kdn1681,Did she fall? #Emmys,777701841836445696,0
232,,Teeberry1121,what in all hell does anna clumsky have on?!?! #Emmys,777701841836605440,0
233,,sassymichgirl,She is busy spreading photo shopped lies about Trump supporters. https://t.co/Jwm3taAOVO,777701840783835136,0
234,,AliLozoff,VEEEEEEEEEEEEEEEEEEEEP. #Emmys,777701842151100416,0
235,,madonnaLily_,ラミおめでと〜〜〜😭😭😭❤️❤️❤️ #Emmys,777701842205618176,0
236,,JoshTarpley7,Looking like the mantle has been passed from #ModernFamily over to #Veep. #Emmys,777701841308188673,1
237,,CamilaAntonioli,Aeeee Veep! #Emmys,777701842092494849,1
238,,toitv,"Supporting actor in a drama series: Ben Mendelsohn for 'Bloodline'
#Emmys
#Emmys2016
https://t.co/1fph8l6VJZ https://t.co/v0j8ANsu8S",777701841597403136,0
239,,strangerclark,eu q nem vejo orphan black to feliz pela Tatiana  #Emmys,777701842289557504,0
240,,KatRose_NYC,🙌🏽 https://t.co/LIIU3FyfQa,777701842105016320,0
241,,andradejoa1,VEM PEGAR SEU EMMY TATIANA #Emmys https://t.co/JqumqAHewO,777701841358430208,0
242,,VFalkembach,"Já podem criar o ""Tatiana Maslany Award"" pq agora ninguém para a Tat #Emmys #CloneClub #OrphanBlack #EmmyForMaslany #EmmyNaWarner",777701842604228612,0
243,,THAT_RICH_Guy,omg she FELL!!! #Emmys,777701842516111360,0
244,,nazarenovazquez,"Winter is coming! Game of Thrones is my choice for best drama series in @CoxComm's #Emmys poll!
https://t.co/e4xSRC3RXn",777701842352476160,0
245,,IChandllerr,"Veep!!!😍😍😍😍
#Emmys",777701842801266688,1
246,,matheus_ramosc,VEEP!!!!!!! #Emmys #EmmyNaWarner,777701842998484992,1
247,,Dani1421,NOPE. MODERN FAMILY SHOULD'VE WON. BYE #Emmys,777701842981707776,1
248,,laynemorgan,Tatiana finally gets the Emmy she's deserved for years. Thank God. #Emmys,777701843291942912,0
249,,_ddeiaa,Que roupa rosa é essa aii moça? kkk #Emmys,777701845447929856,0
250,,ryderkessler,Veep winning = justice in the world = Hillary is definitely gonna win the election. Transitive property. #Emmys,777701845900877825,1
251,,AlineBatista31,"MEU DEUS, MOZÃO GANHOU https://t.co/0SxGl3SGmx",777701845787615233,0
252,,dustinmschmidt,"There were too many nominees posing on the red carpet like ""Actually George, I just started the second coat"" #Emmys https://t.co/4DC6T9WQMW",777701844894093312,0
253,,AndrewKam,9/10 you can tell who's going to win the #Emmys by who they choose to present.,777701846177767424,1
254,,SimplyCarla7,Ha! She fell #Emmys,777701846529904640,1
